date,new_deaths,adjusted
2020-10-02,88,133
2020-10-03,20,65
2020-10-04,0,45
2020-10-05,6,51
2020-10-06,16,61
2020-10-07,23,68
2020-10-08,13,58
2020-10-09,11,56
2020-10-10,3,48
2020-10-11,2,47
2020-10-12,6,51
2020-10-13,12,57
2020-10-14,16,61
2020-10-15,5,50
2020-10-16,16,61
2020-10-17,13,58
2020-10-18,0,45
2020-10-19,8,53
2020-10-20,8,53
2020-10-21,66,111
2020-10-22,12,57
2020-10-23,23,68
2020-10-24,22,67
2020-10-25,0,45
2020-10-26,11,56
2020-10-27,22,67
2020-10-28,17,62
2020-10-29,19,64
2020-10-30,16,61
2020-10-31,10,55
2020-11-01,2,47
2020-11-02,37,82
2020-11-03,33,78
2020-11-04,55,100
2020-11-05,33,78
2020-11-06,33,78
2020-11-07,12,57
2020-11-08,11,56
2020-11-09,7,52
2020-11-10,23,68
2020-11-11,76,121
2020-11-12,35,80
2020-11-13,42,87
2020-11-14,14,59
2020-11-15,8,53
2020-11-16,20,65
2020-11-17,30,75
2020-11-18,55,100
2020-11-19,63,108
2020-11-20,65,110
2020-11-21,29,74
2020-11-22,12,57
2020-11-23,24,69
2020-11-24,98,143
2020-11-25,156,201
2020-11-26,0,45
2020-11-27,72,117
2020-11-28,32,77
2020-11-29,21,66
2020-11-30,30,75
2020-12-01,119,164
2020-12-02,123,168
2020-12-03,82,127
2020-12-04,129,174
2020-12-05,65,110
2020-12-06,13,58
2020-12-07,63,108
2020-12-08,80,125
2020-12-09,84,129
2020-12-10,111,156
2020-12-11,128,173
2020-12-12,51,96
2020-12-13,15,60
2020-12-14,59,104
2020-12-15,103,148
2020-12-16,123,168
2020-12-17,117,162
2020-12-18,73,118
2020-12-19,64,109
2020-12-20,16,61
2020-12-21,75,120
2020-12-22,130,175
2020-12-23,109,154
2020-12-24,95,140
2020-12-25,0,45
2020-12-26,20,65
2020-12-27,33,78
2020-12-28,62,107
2020-12-29,151,196
2020-12-30,133,178
2020-12-31,107,152
2021-01-01,0,45
2021-01-02,55,100
2021-01-03,59,104
2021-01-04,67,112
2021-01-05,104,149
2021-01-06,121,166
2021-01-07,94,139
2021-01-08,82,127
2021-01-09,55,100
2021-01-10,28,73
2021-01-11,75,120
2021-01-12,100,145
2021-01-13,79,124
2021-01-14,109,154
2021-01-15,67,112
2021-01-16,78,123
2021-01-17,65,110
2021-01-18,81,126
2021-01-19,55,100
2021-01-20,73,118
2021-01-21,109,154
2021-01-22,81,126
2021-01-23,81,126
2021-01-24,31,76
2021-01-25,57,102
2021-01-26,88,133
2021-01-27,75,120
2021-01-28,75,120
2021-01-29,67,112
2021-01-30,51,96
2021-01-31,54,99
2021-02-01,55,100
2021-02-02,106,151
2021-02-03,92,137
2021-02-04,79,124
2021-02-05,61,106
2021-02-06,81,126
2021-02-07,7,52
2021-02-08,36,81
2021-02-09,98,143
2021-02-10,63,108
